Grant Name,Sponsor,Link,Award max,RFP,Innovation/execution,Latest preparation start date,App deadline,Partners notes,Match req %,Timeline summary,App process,App package,Extra notes,Relevance,EQORE Fit,Ease of Use,Match %,Weighted Score,Deadline,Days to Deadline
Fluid Dynamics (PD-23-1443),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347020,,https://www.grants.gov/search-results-detail/347020,,,,,,Open 03/21/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Geospace Cluster (PD-24-7789),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356536,,https://www.grants.gov/search-results-detail/356536,,,,,,Open 09/26/2024 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
NOI to Issue Infrastructure Investment and Jobs Act (IIJA) Funding Opportunity Announcement No. DE-FOA-0003587 titled &ldquo;Rare Earth Elements Demonstration Facility&rdquo;. (DE-FOA-0003586),National Energy Technology Laboratory,https://www.grants.gov/search-results-detail/360287,,https://www.grants.gov/search-results-detail/360287,,,10/13/2025,,,Open 08/13/2025 → Close 10/13/2025,,,Status: posted,3.5,4.0,3.0,,8.4,,
"Communications, Circuits, and Sensing-Systems (PD-18-7564)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/346204,,https://www.grants.gov/search-results-detail/346204,,,,,,Open 02/17/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
"Electronics, Photonics and Magnetic Devices (PD-18-1517)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/345872,,https://www.grants.gov/search-results-detail/345872,,,,,,Open 02/08/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Combustion and Fire Systems (PD-23-1407),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347509,,https://www.grants.gov/search-results-detail/347509,,,,,,Open 04/14/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
NIEHS Worker Training Program&rsquo;s HAZMAT Training at DOE Nuclear Weapons Complex (UH4 Clinical Trial Not Allowed) (TEMP-31334),National Institutes of Health,https://www.grants.gov/search-results-detail/359970,,https://www.grants.gov/search-results-detail/359970,,,,,,Open 07/17/2025 → Close ,,,Status: forecasted,1.0,3.0,4.0,,2.4000000000000004,,
NOI to Issue Infrastructure Investment and Jobs Act (IIJA) Funding Opportunity Announcement DE-FOA-0003585 &ldquo;Battery Materials Processing and Battery Manufacturing and Recycling Grant Program&quot; (DE-FOA-0003584),National Energy Technology Laboratory,https://www.grants.gov/search-results-detail/360288,,https://www.grants.gov/search-results-detail/360288,,,10/13/2025,,,Open 08/13/2025 → Close 10/13/2025,,,Status: posted,5.0,5.0,3.0,,15.0,,
Notice of Intent to issue Critical Minerals and Materials Accelerator Notice of Funding Opportunity (DE-FOA-0003588),Golden Field Office,https://www.grants.gov/search-results-detail/360290,,https://www.grants.gov/search-results-detail/360290,,,10/13/2025,,,Open 08/13/2025 → Close 10/13/2025,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Notice of Intent (NOI) related to &quot;HARMONY: Human-Centric Analytics for Resilient &amp; Modernized Power sYstems&rdquo; (DE-FOA-0003445),National Energy Technology Laboratory,https://www.grants.gov/search-results-detail/356444,,https://www.grants.gov/search-results-detail/356444,,,12/31/2025,,,Open 09/17/2024 → Close 12/31/2025,,,Status: posted,3.5,4.0,5.0,,14.0,,
Pacific Regional Partnership Intermediary Agreement (FA9453-23-R-001),Air Force -- Research Lab,https://www.grants.gov/search-results-detail/346937,,https://www.grants.gov/search-results-detail/346937,,,,,,Open 03/17/2023 → Close ,,,Status: forecasted,1.0,3.0,4.0,,2.4000000000000004,,
Annual Program Statement (APS) for Fiscal Year 2025 (PAS-TUNIS-FY2025),U.S. Mission to Tunisia,https://www.grants.gov/search-results-detail/359120,,https://www.grants.gov/search-results-detail/359120,,,,,,Open 06/02/2025 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
Algorithms for Modern Power Systems (22-569),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/337984,,https://www.grants.gov/search-results-detail/337984,,,02/09/2026,,,Open 02/11/2022 → Close 02/09/2026,,,Status: posted,0.5,3.0,5.0,,1.5,,
Notice of Funding Opportunity (NOFO) SUSI Civic Engagement and Environmental Issues Selection Process (SPAINNOFOSUSI2023),U.S. Mission to Spain,https://www.grants.gov/search-results-detail/344137,,https://www.grants.gov/search-results-detail/344137,,,,,,Open 10/21/2022 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
Catalysis (PD-23-1401),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348932,,https://www.grants.gov/search-results-detail/348932,,,,,,Open 06/27/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Particulate and Multiphase Processes (PD-23-1415),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347325,,https://www.grants.gov/search-results-detail/347325,,,,,,Open 04/05/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Environmental Sustainability (PD-23-7643),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347328,,https://www.grants.gov/search-results-detail/347328,,,,,,Open 04/05/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
RESTORE Act Centers of Excellence Research Grants Program (GR-RCE-25-001),U.S. Dept. of Treasury RESTORE Act Program,https://www.grants.gov/search-results-detail/356559,,https://www.grants.gov/search-results-detail/356559,,,10/31/2025,,,Open 09/26/2024 → Close 10/31/2025,,,Status: posted,1.0,3.0,4.0,,2.4000000000000004,,
RFI - DOE R (DE-SOL-0008246),Idaho Field Office,https://www.grants.gov/search-results-detail/280932,,https://www.grants.gov/search-results-detail/280932,,,,,,Open 01/14/2016 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
RFI - DOE Infrastructure Work Scope Development (DE-SOL-0008318),Idaho Field Office,https://www.grants.gov/search-results-detail/280970,,https://www.grants.gov/search-results-detail/280970,,,,,,Open 01/14/2016 → Close ,,,Status: posted,1.0,3.0,3.0,,1.7999999999999998,,
MAGNETIC ACCELERATION GENERATING NEW INNOVATIONS AND TACTICAL OUTCOMES SBIR/STTR (MAGNITO SBIR/STTR) (DE-FOA-0003591),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360356,,https://www.grants.gov/search-results-detail/360356,,,09/24/2025,,,Open 08/25/2025 → Close 09/24/2025,,,Status: posted,5.0,5.0,2.0,,10.0,,
UNITED STATES MILITARY ACADEMY Broad Agency Announcement (W911NF-20-S-0008),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/325932,,https://www.grants.gov/search-results-detail/325932,,,03/31/2027,,,Open 04/01/2020 → Close 03/31/2027,,,Status: posted,0.5,3.0,5.0,,1.5,,
Long Range Broad Agency Announcement (BAA) for NSWC Crane (N0016424SNB35),NSWC CRANE - N00164,https://www.grants.gov/search-results-detail/352238,,https://www.grants.gov/search-results-detail/352238,,,,,,Open 02/08/2024 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Climate Hackathon in Northern Japan (SAPPORO-PAS-FY22-01-02),U.S. Mission to Japan,https://www.grants.gov/search-results-detail/338143,,https://www.grants.gov/search-results-detail/338143,,,,,,Open 02/18/2022 → Close ,,,Status: forecasted,1.0,3.0,4.0,,2.4000000000000004,,
Democracy Commission Program Round 2 FY2023 (TIRDEMCOMMR2FY23),U.S. Mission to Albania,https://www.grants.gov/search-results-detail/347569,,https://www.grants.gov/search-results-detail/347569,,,,,,Open 04/18/2023 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
Embassy Belgrade PAS - University Partnership (SRB10020FO006),U.S. Mission to Serbia,https://www.grants.gov/search-results-detail/327658,,https://www.grants.gov/search-results-detail/327658,,,,,,Open 06/12/2020 → Close ,,,Status: forecasted,1.0,3.0,4.0,,2.4000000000000004,,
Alumni Engagement Innovation Fund Program FY 2025 (SMK800-25-PAS001),U.S. Mission to North Macedonia,https://www.grants.gov/search-results-detail/358681,,https://www.grants.gov/search-results-detail/358681,,,,,,Open 04/16/2025 → Close ,,,Status: forecasted,1.0,3.0,4.0,,2.4000000000000004,,
CHEERS Open Period 2 - All Technical Areas (FA238424S2335),Air Force -- Research Lab,https://www.grants.gov/search-results-detail/360262,,https://www.grants.gov/search-results-detail/360262,,,09/30/2027,,,Open 08/07/2025 → Close 09/30/2027,,,Status: posted,1.0,3.0,5.0,,3.0,,
Developing Country Collaborations in Plant Genome Research (DCC-PGR)  (04-563),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/45657,,https://www.grants.gov/search-results-detail/45657,,,,,,Open 03/22/2004 → Close ,,,Status: posted,1.0,3.0,3.0,,1.7999999999999998,,
Operations Engineering (PD-19-006Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/306167,,https://www.grants.gov/search-results-detail/306167,,,,,,Open 06/12/2018 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Engineering for Civil Infrastructure (PD-19-073Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/306169,,https://www.grants.gov/search-results-detail/306169,,,,,,Open 06/12/2018 → Close ,,,Status: posted,1.0,3.0,3.0,,1.7999999999999998,,
"Solar, Heliospheric, and INterplanetary Environment (22-570)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/337985,,https://www.grants.gov/search-results-detail/337985,,,10/07/2025,,,Open 02/11/2022 → Close 10/07/2025,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Public Affairs Section Notice of Funding Opportunity 2020 (PAS-SCB-600-20-PAS-0001),U.S. Mission to Cambodia,https://www.grants.gov/search-results-detail/322667,,https://www.grants.gov/search-results-detail/322667,,,,,,Open 11/23/2019 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
MISSION ITALY ANNUAL PROGRAM STATEMENT 2023 (2301),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/345914,,https://www.grants.gov/search-results-detail/345914,,,,,,Open 02/09/2023 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
U.S. Embassy Phnom Penh &ndash; PAS Annual Program Statement (PAS-CB600-23-0002),U.S. Mission to Cambodia,https://www.grants.gov/search-results-detail/348863,,https://www.grants.gov/search-results-detail/348863,,,,,,Open 06/22/2023 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
Plasma Physics (PD-23-1242),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350018,,https://www.grants.gov/search-results-detail/350018,,,11/17/2025,,,Open 08/29/2023 → Close 11/17/2025,,,Status: posted,0.5,3.0,4.0,,1.2000000000000002,,
U.S. Embassy Luanda Public Diplomacy Section Request for a Full Proposal Application (DOS-PAS-ANG-FY25-01),U.S. Mission to Angola,https://www.grants.gov/search-results-detail/358783,,https://www.grants.gov/search-results-detail/358783,,,,,,Open 04/30/2025 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
Division of Molecular and Cellular Biosciences Core Programs (24-539),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/352338,,https://www.grants.gov/search-results-detail/352338,,,,,,Open 02/14/2024 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
Centers for Chemical Innovation (23-575),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/359954,,https://www.grants.gov/search-results-detail/359954,,,11/17/2025,,,Open 07/08/2025 → Close 11/17/2025,,,Status: posted,1.0,3.0,4.0,,2.4000000000000004,,
National Science Foundation Translation to Practice (25-540),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/359966,,https://www.grants.gov/search-results-detail/359966,,,09/16/2025,,,Open 07/09/2025 → Close 09/16/2025,,,Status: posted,0.5,3.0,2.0,,0.6000000000000001,,
US Army Combat Capabilities Development Command Broad Agency Announcement (W911QY25R0023),ACC APG - Natick,https://www.grants.gov/search-results-detail/360012,,https://www.grants.gov/search-results-detail/360012,,,02/27/2030,,,Open 07/14/2025 → Close 02/27/2030,,,Status: posted,0.5,3.0,5.0,,1.5,,
Interfacial Engineering (PD-23-1417),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347326,,https://www.grants.gov/search-results-detail/347326,,,,,,Open 04/05/2023 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
WINDOWS ON THE UNIVERSE: THE ERA OF MULTI-MESSENGER ASTROPHYSICS (PD-23-5115),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/349929,,https://www.grants.gov/search-results-detail/349929,,,10/15/2025,,,Open 08/19/2023 → Close 10/15/2025,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
NHLBI Outstanding Investigator Award (OIA) (R35 Clinical Trial Optional) (RFA-HL-26-002),National Institutes of Health,https://www.grants.gov/search-results-detail/353821,,https://www.grants.gov/search-results-detail/353821,,,04/28/2027,,,Open 04/26/2024 → Close 04/28/2027,,,Status: posted,0.5,3.0,5.0,,1.5,,
Atmosphere Cluster (PD-24-7790),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356538,,https://www.grants.gov/search-results-detail/356538,,,,,,Open 09/26/2024 → Close ,,,Status: posted,0.5,3.0,3.0,,0.8999999999999999,,
ERDC Broad Agency Announcement (W912HZ-25-BAA-01),Engineer Research and Development Center,https://www.grants.gov/search-results-detail/357970,,https://www.grants.gov/search-results-detail/357970,,,12/31/2025,,,Open 01/02/2025 → Close 12/31/2025,,,Status: posted,1.0,3.0,5.0,,3.0,,
Sustaining Cultural Heritage Collections (20260109-PF),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/358392,,https://www.grants.gov/search-results-detail/358392,,,,,,Open 01/24/2025 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
Public Diplomacy Small Grants Program (DOS-USEU-PD-2020-002),U.S. Mission to the European Union,https://www.grants.gov/search-results-detail/327185,,https://www.grants.gov/search-results-detail/327185,,,,,,Open 05/20/2020 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
U.S. Mission Italy PDS Annual Program Statement (PDSITALYFY24),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/351231,,https://www.grants.gov/search-results-detail/351231,,,,,,Open 11/30/2023 → Close ,,,Status: forecasted,0.5,3.0,4.0,,1.2000000000000002,,
Centers of Research Excellence in Science and Technology - Research Infrastructure for Science and Engineering (24-562),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/359061,,https://www.grants.gov/search-results-detail/359061,,,08/07/2026,,,Open 05/21/2025 → Close 08/07/2026,,,Status: posted,1.5,3.0,5.0,,4.5,,
Correctness for Scientific Computing Systems (24-571),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/354144,,https://www.grants.gov/search-results-detail/354144,,,08/11/2026,,,Open 05/10/2024 → Close 08/11/2026,,,Status: posted,0.5,3.0,5.0,,1.5,,
ECosystem for Leading Innovation in Plasma Science and Engineering (PD-24-110Z),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/351715,,https://www.grants.gov/search-results-detail/351715,,,12/05/2025,,,Open 01/06/2024 → Close 12/05/2025,,,Status: posted,1.0,3.0,4.0,,2.4000000000000004,,
Research and Development (RAD) Directed Energy (RD) University Assistance Instruments (RDK-RAD-FOA-2024),Air Force -- Research Lab,https://www.grants.gov/search-results-detail/355499,,https://www.grants.gov/search-results-detail/355499,,,07/18/2029,,,Open 07/18/2024 → Close 07/18/2029,,,Status: posted,4.0,4.0,5.0,,16.0,,
DIRECTED ENERGY TECHNOLOGY EXPERIMENTATION RESEARCH ADVANCED RESEARCH ANNOUCEMENT (DETER ARA) (FA9451-21-S-0001),AFRL Kirtland AFB,https://www.grants.gov/search-results-detail/332367,,https://www.grants.gov/search-results-detail/332367,,,,,,Open 03/25/2021 → Close ,,,Status: forecasted,3.5,3.0,4.0,,8.4,,
Notice of Intent to Issue Infrastructure Investment and Jobs Act (IIJA): Mines and Metals Capacity Expansion &ndash; Piloting By-Product Critical Minerals and Materials Recovery at Domestic Industrial Facilities (DE-FOA-0003582),National Energy Technology Laboratory,https://www.grants.gov/search-results-detail/360291,,https://www.grants.gov/search-results-detail/360291,,,12/15/2025,,,Open 08/13/2025 → Close 12/15/2025,,,Status: posted,3.5,4.0,4.0,,11.200000000000001,,
Continuing Human Enabling Enhancing Restoring and Sustaining (FA238424S2233),Air Force -- Research Lab,https://www.grants.gov/search-results-detail/360258,,https://www.grants.gov/search-results-detail/360258,,,08/22/2044,,,Open 08/07/2025 → Close 08/22/2044,,,Status: posted,1.0,3.0,5.0,,3.0,,
Research Interests of the Air Force Office of Scientific Research (FA955025S0001),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/359050,,https://www.grants.gov/search-results-detail/359050,,,,,,Open 05/20/2025 → Close ,,,Status: posted,1.0,3.0,3.0,,1.7999999999999998,,
MINORITY SERVING INSTITUTIONS PARTNERSHIP PROGRAM (MSIPP) CONSORTIA GRANT PROGRAM (CGP) (DE-FOA-0003285),NNSA,https://www.grants.gov/search-results-detail/351714,,https://www.grants.gov/search-results-detail/351714,,,06/15/2026,,,Open 01/05/2024 → Close 06/15/2026,,,Status: posted,0.5,3.0,5.0,,1.5,,
Bipartisan Infrastructure Law - Carbon Dioxide Transportation Infrastructure Finance and Innovation (CIFIA) Program: Future Growth Grants (Section 40304) (DE-FOA-0002966),National Energy Technology Laboratory,https://www.grants.gov/search-results-detail/353946,,https://www.grants.gov/search-results-detail/353946,,,01/02/2026,,,Open 05/02/2024 → Close 01/02/2026,,,Status: posted,4.0,5.0,5.0,,20.0,,
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) Department of Defense Army (W911NF25S0004),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/358532,,https://www.grants.gov/search-results-detail/358532,,,09/05/2025,,,Open 03/05/2025 → Close 09/05/2025,,,Status: posted,1.5,3.0,1.0,,0.9,,
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (N0001425SF002),Office of Naval Research,https://www.grants.gov/search-results-detail/358592,,https://www.grants.gov/search-results-detail/358592,,,09/05/2025,,,Open 03/25/2025 → Close 09/05/2025,,,Status: posted,1.5,3.0,1.0,,0.9,,
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (N001425SF002),Office of Naval Research,https://www.grants.gov/search-results-detail/358585,,https://www.grants.gov/search-results-detail/358585,,,09/05/2025,,,Open 03/21/2025 → Close 09/05/2025,,,Status: posted,1.5,3.0,1.0,,0.9,,
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (NOFOAFRLAFOSR20250002),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/358533,,https://www.grants.gov/search-results-detail/358533,,,09/05/2025,,,Open 03/05/2025 → Close 09/05/2025,,,Status: posted,1.5,3.0,1.0,,0.9,,
DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH (W911NF-23-S-0001),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/344592,,https://www.grants.gov/search-results-detail/344592,,,11/20/2027,,,Open 11/21/2022 → Close 11/20/2027,,,Status: posted,1.0,3.0,5.0,,3.0,,
Air Dominance Broad Agency Announcement (BAA) (FA865125S0001),Munitions Directorate,https://www.grants.gov/search-results-detail/358674,,https://www.grants.gov/search-results-detail/358674,,,10/31/2029,,,Open 04/14/2025 → Close 10/31/2029,,,Status: posted,0.5,3.0,5.0,,1.5,,
Research Interests of the United States Air Force Academy (formerly USAFA-BAA-2021) (FA7000-21-S-0001),Air Force Academy,https://www.grants.gov/search-results-detail/330175,,https://www.grants.gov/search-results-detail/330175,,,,,,Open 12/02/2020 → Close ,,,Status: posted,1.0,3.0,3.0,,1.7999999999999998,,
NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research (N00173-24-S-BA01),Naval Research Laboratory,https://www.grants.gov/search-results-detail/352741,,https://www.grants.gov/search-results-detail/352741,,,09/30/2025,,,Open 03/01/2024 → Close 09/30/2025,,,Status: posted,1.0,3.0,3.0,,1.7999999999999998,,
Air Delivered Effects (FA8651-22-S-0001),Munitions Directorate,https://www.grants.gov/search-results-detail/338821,,https://www.grants.gov/search-results-detail/338821,,,03/21/2027,,,Open 03/22/2022 → Close 03/21/2027,,,Status: posted,0.5,3.0,5.0,,1.5,,
FY 2023 EDA Public Works and Economic Adjustment Assistance Programs (PWEAA2023),Economic Development Administration,https://www.grants.gov/search-results-detail/346815,,https://www.grants.gov/search-results-detail/346815,,,,,,Open 03/14/2023 → Close ,,,Status: posted,0.5,3.0,3.0,20.0,0.8999999999999999,,
Measurement Science and Engineering (MSE) Research Grant Programs (2025-NIST-MSE-01),National Institute of Standards and Technology,https://www.grants.gov/search-results-detail/358955,,https://www.grants.gov/search-results-detail/358955,,,,,,Open 05/14/2025 → Close ,,,Status: posted,1.0,3.0,3.0,,1.7999999999999998,,
FY 2024 &ndash; 2026 - Broad Agency Announcement (BAA) for the Office of Education (NOAA-SEC-OED-2024-28060),DOC NOAA - ERA Production,https://www.grants.gov/search-results-detail/356002,,https://www.grants.gov/search-results-detail/356002,,,09/30/2026,,,Open 08/12/2024 → Close 09/30/2026,,,Status: posted,0.5,3.0,5.0,,1.5,,
Small Business Innovation Research and Small Business Technology Transfer Programs Phase II (USDA-NIFA-SBIR-011120),National Institute of Food and Agriculture,https://www.grants.gov/search-results-detail/360040,,https://www.grants.gov/search-results-detail/360040,,,09/23/2025,,,Open 07/16/2025 → Close 09/23/2025,,,Status: posted,2.0,3.0,2.0,,2.4000000000000004,,
FY 2024 &ndash; 2026 - Broad Agency Announcement (BAA) Announcement Type: Initial (NOAA-NOS-MB-27779),DOC NOAA - ERA Production,https://www.grants.gov/search-results-detail/356042,,https://www.grants.gov/search-results-detail/356042,,,09/30/2026,,,Open 08/14/2024 → Close 09/30/2026,,,Status: posted,0.5,3.0,5.0,,1.5,,
Annual Program Statement for U.S. Presentation at International Art Biennales (DFOP0017204),Bureau Of Educational and Cultural Affairs,https://www.grants.gov/search-results-detail/360164,,https://www.grants.gov/search-results-detail/360164,,,01/01/2099,,,Open 07/29/2025 → Close 01/01/2099,,,Status: posted,0.5,2.0,5.0,,1.0,,
Securing Fair and Reliable Critical Mineral Supply Chains (FOA-ILAB-25-15),Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/360111,,https://www.grants.gov/search-results-detail/360111,,,09/26/2025,,,Open 08/27/2025 → Close 09/26/2025,,,Status: posted,0.5,3.0,2.0,,0.6000000000000001,,
"FY 2024 &ndash; 2026 Broad Agency Announcement (BAA), Office of Oceanic and Atmospheric Research (OAR) (NOAA-OAR-CPO-2024-28363)",DOC NOAA - ERA Production,https://www.grants.gov/search-results-detail/356669,,https://www.grants.gov/search-results-detail/356669,,,09/30/2026,,,Open 10/09/2024 → Close 09/30/2026,,,Status: posted,1.0,3.0,5.0,,3.0,,
DOD Defense Health Agency (DHA) Research &amp; Development FY23-FY27 BROAD AGENCY ANNOUNCEMENT for Extramural Medical Research (HT942523SBAA1),Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/343725,,https://www.grants.gov/search-results-detail/343725,,,09/30/2027,,,Open 09/22/2022 → Close 09/30/2027,,,Status: posted,1.0,3.0,5.0,,3.0,,
